product_sk,product_name,category_name,net_quantity,revenue_at_price_effective_that_month,lowest_effective_price,highest_effective_price
2137,24 Mantra Toor Dal 10kg,Staples & Grains,126.000,233402.40,1852.40,1852.40
1474,Huggies Diapers Small,Baby Care,113.000,197736.44,1749.88,1749.88
1646,Daawat Poha 10kg,Staples & Grains,128.000,188787.20,1474.90,1474.90
1287,Fortune Toor Dal 10kg,Staples & Grains,131.000,186668.45,1424.95,1424.95
2073,Pampers Diapers Medium,Baby Care,127.000,184224.93,1450.59,1450.59
2106,Mamypoko Baby Wipes Large,Baby Care,126.000,172226.88,1366.88,1366.88
1488,Gold Winner Rice Bran Oil 1L,Edible Oils,132.000,171128.76,1296.43,1296.43
1991,Aashirvaad Whole Wheat Atta 1kg,Staples & Grains,109.000,169403.44,1554.16,1554.16
1927,Mamypoko Diapers XL,Baby Care,126.000,169163.82,1342.57,1342.57
1023,Aashirvaad Toor Dal 1kg,Staples & Grains,106.000,167089.92,1576.32,1576.32
1434,Sundrop Rice Bran Oil 5L,Edible Oils,137.000,164582.21,1201.33,1201.33
2001,Daawat Sona Masoori Rice 10kg,Staples & Grains,138.000,163796.34,1186.93,1186.93
1404,Aashirvaad Chana Dal 10kg,Staples & Grains,120.000,162834.00,1356.95,1356.95
1386,Pampers Baby Wipes Small,Baby Care,127.000,159378.65,1254.95,1254.95
1306,Dhara Mustard Oil 5L,Edible Oils,128.000,157644.80,1231.60,1231.60
